AAL;AA;American Airlines
AAR;OZ;Asiana Airlines
AAS;;Austrian Air Services
ABL;BX;Air Busan
ABS;9T;Transwest Air
ACA;AC;Air Canada
ACW;;Royal Air Force
ACY;;Atlas Cargo Airlines
AEA;UX;Air Europa
AEB;EM;Aero Benin
AEC;;Aerocésar
AED;;Aerotrans Airlines
AED;;Aie Experience Flight
AED;;Aernord
AEE;A3;Aegean Airlines
AEF;;Aerea
AEG;;Aerofumigaciones Sam
AEG;;Air East
AEH;;Aero4m
AEH;RX;Aviaexpress
AEI;;Aeroexpreso Interamericano
AEI;;Air Italy Polska
AEJ;;Air Express
AEK;;Aerocon
AEK;;Aero Costa Rica
AEL;PE;Air Europe Italy
AEM;;Aero Madrid
AEN;KD;Air Enterprise
AEN;3S;Aeroland Airways
AEO;;Aeroservicios Ejecutivos Del Occidente
AEP;;Aerotec Escuela de Pilotos
AEQ;;Air Express
AER;KO;Alaska Central Express
AES;VX;ACES Colombia
AES;;Aerosur Paraguay
AET;;Aero-Palma
AET;;Aerotime
AEU;5W;Astraeus
AEV;;Aeroventas
AEW;VV;Aerosvit Airlines
AEX;;Airway Express
AEY;I9;Air Italy
AEZ;;Aerial Transit
AFA;;Alfa Air
AFB;WK;American Falcon
AFC;;African West Air
AFD;;Panorama Flight Service
AFE;;Airfast Indonesia
AFF;VJ;Africa Airways
AFG;FG;Ariana Afghan Airlines
AFH;;Air Fecteau
AFI;RV;Africaone
AFJ;Y2;Alliance Air
AFK;;Africa Air Links
AFL;SU;Aeroflot Russian Airlines
AFM;;Air Four
AFN;;African International Airlines
AFO;;Aero Empresa Mexicana
AFP;;Portuguese Air Force
AFQ;;Alba Servizi Aerotrasporti
AFR;AF;Air France
AFS;;Air Data
AFT;;
AFU;Q9;Afrinat International Airlines
AFV;;Air Afrique Vacancies
AFW;;Afrique Regional Airways
AFW;AW;Africa World Airlines
AFX;5Z;Airfreight Express
AFY;;Africa Chartered Services
AFZ;;Africa Freight Services
AGA;;AG Air
AGA;;Aeronaves Del Centro
AGB;G8;Air Service Gabon
AGC;;Arab Agricultural Aviation Company
AGE;;Servicios Aéreos de Los Ángeles
AGF;;Atlantic Gulf Airlines
AGG;;Algoma Airways
AGH;;Altagna
AGI;;Aereo Transportes Los Angeles de America
AGM;;Air Guam
AGM;;Aviation West Charters
AGN;GN;Air Gabon
AGO;;Angola Air Charter
AGP;;AERFI Group
AGQ;;Aerogala
AGR;;United States Department Of Agriculture
AGT;1A;Amadeus Global Travel Distribution
AGU;;Angara Airlines
AGV;7T;Air Glaciers
AGW;;Aero Gambia
AGX;JJ;Aviogenex
AGY;;Aero Flight Service
AGZ;;Agrolet-Mci
AHA;GD;Air Alpha Greenland
AHC;;Azal Avia Cargo
AHD;;Czech Air Handling
AHE;;Airport Helicopter Basel, Muller & Co.
AHF;;Aspen Helicopters
AHG;;Aerochago Airlines
AHH;;Airplanes Holdings
AHI;;Servicios Aéreos de Chihuahua Aerochisa
AHK;LD;Air Hong Kong
AHL;;Aerolíneas Hidalgo
AHM;;Garrison Aviation
AHN;;Air Hungaria
AHP;;Aerochiapas
AHR;;Air Adriatic
AHS;;AHS Air International
AHS;;Air Viggi San Raffaele
AHT;;HTA Helicopteros
AHU;;ABC Air Hungary
AHW;HT;Aeromist-Kharkiv
AHY;J2;Azerbaijan Airlines
AIA;U3;Avies
AIB;4Y;Airbus Industrie
AIC;AI;Air India Limited
AID;;Christian Konig - Century Airbirds
AIE;;Air Inuit
AIF;;Compañía Aérea de Valencia
AIG;;Air Inter Gabon
AIH;;Alpine Air Chile
AII;;Air Integra
AIJ;;ABC Aerolíneas
AIK;;African Airlines International Limited
AIL;;Air Illinois
AIM;;Trabajos Aéreos Murcianos
AIN;;African International Airways
AIO;;Chief of Staff, United States Air Force
AIO;;United States Air Force
AIP;5A;Alpine Air Express
AIQ;FD;Thai AirAsia
AIR;;Airlift International
AIS;;Air Sureste
AIT;;Airest
AIU;;Alicante Internacional Airlines
AIV;;Airvias S/A Linhas Aéreas
AIW;;Atlantic Island Airways
AIX;;Aircruising Australia
AIY;;Aircrew Check and Training Australia
AIZ;IZ;Arkia Israel Airlines
AJA;;Afghan Jet International Airlines
AJB;;Aero JBR
AJC;;Bar Harbor Airlines
AJE;;Aero Jet Express
AJF;;Avia Consult Flugbetriebs
AJH;;Aeroaljarafe
AJI;;Ameristar Jet Charter
AJJ;;A2 Jet Leasing
AJK;;Allied Air
AJM;JM;Air Jamaica
AJO;;Aero Ejecutivo
AJP;;Aero Jets Corporativos
AJR;;A-Jet Aviation Company
AJS;;Aeroejecutivos Colombia
AJT;M6;Amerijet International
AJU;;Air Jetsul
AJV;;ANA & JP Express
AJW;;Alpha Jet International
AJX;NQ;Air Japan
AJY;;AJet
AKA;;Air Korea Co. Ltd.
AKB;;Aktjubavia
AKC;;Arca Aerovías Colombianas Ltda.
AKF;;Anikay Air Company
AKG;;No. 84 Squadron RAF
AKH;;Akhal
AKI;;Ibk-Petra
AKK;;Aklak Air
AKL;4A;Air Kiribati
AKM;;Mak Air
AKN;;Alkan Air
AKR;;Aero Clinker
AKT;V2;Karat
AKW;;Angkor Airways
AKX;EH;Air Nippon Network Co. Ltd.
AKY;;Yak-Service
AKZ;;AK Navigator LLC
ALB;;Aero Albatros
ALC;;Southern Jersey Airways, Inc.
ALD;;Albion Aviation
ALE;;Aeroalas Colombia
ALF;;Allied Command Europe (Mobile Force)
ALG;;Air Logistics
ALJ;;Heli Ambulance Team
ALK;UL;SriLankan Airlines
ALL;;Aerovallarta
ALM;;Air ALM
ALN;;Alpha Jet
ALN;;Air Lincoln
ALO;;Allegheny Commuter Airlines
ALP;;Allpoints Jet
ALP;;Alpliner AG
ALQ;;Altair Aviation (1986)
ALR;;Líneas Aéreas Alaire S.L.
ALS;;Aeralp
ALT;;Aerolíneas Centrales
ALU;;Air Luxor STP
ALV;VH;Aeropostal Alas de Venezuela
ALW;;Alas Nacionales, S.A.
ALX;EO;Hewa Bora Airways
ALY;;Alyeska Air Service
ALZ;;Alta Flights (Charters) Ltd.
AMA;;ATMA
AMB;1I;Deutsche Rettungsflugwacht
AMC;KM;Air Malta
AMD;;Aerolíneas Medellín
AME;;Spanish Air Force
AMF;;Ameriflight
AMG;;Air Minas Linhas Aéreas
AMH;;Alan Mann Helicopters Ltd.
AMI;;Air Maldives
AMJ;;Aviation Amos
AMK;;Amerer Air
AML;QM;Air Malawi
AMM;;Aeroputul International Marculesti
AMN;;Air Montenegro
AMO;;Air Montreal (Air Holdings Inc.)
AMP;;Aero Transporte S.A. (ATSA)
AMQ;;Aeromedicare Ltd.
AMQ;;Aircraft Management and Consulting
AMR;;Air Specialties Corporation
AMS;;Air Muskoka
AMT;TZ;ATA Airlines
AMU;NX;Air Macau
AMV;;AMC Airlines
AMW;ZV;Air Midwest
AMX;AM;Aeroméxico
AMY;;Air Ambar
AMZ;;Amiya Airline
ANA;NH;All Nippon Airways
ANB;;Air Navigation And Trading Co. Ltd.
ANC;;Anglo Cargo
AND;;National Jet Service
AND;FP;Servicios Aereos De Los Andes
ANE;YW;Air Nostrum
ANG;PX;Air Niugini
ANH;;Alajnihah for Air Transport
ANI;;Air Atlantic (Nig) Limited
ANK;EL;Air Nippon
ANL;;Nacoia Lda
ANM;;Aerotransportacion de Norteamerica
ANM;;Antares Airtransport, Maintenance & Service GmbH
ANO;TL;Airnorth
ANQ;;Aerolínea de Antioquia
ANS;OY;Andes Líneas Aéreas
ANT;4N;Air North Charter - Canada
ANV;;Air Nevada
ANW;;Aviación Del Noroeste, S.A. de C.V.
ANX;;Secretaria de Marina
ANZ;NZ;Air New Zealand
AOA;;Alcon Servicios Aéreos, S.A. de C.V.
AOB;;Aerocaribe Coro
AOC;J6;AVCOM
AOD;;Aero Vodochody
AOE;;Air One Executive
AOE;;Lvingstone Executive
AOF;;Atair Pty Ltd.
AOG;2D;Aero VIP
AOI;;Astoria, Inc.
AOK;;Aeroatlantico Colombia
AOL;;Angkor Airlines
AOM;IW;AOM French Airlines
AON;;Aero Entreprise
AOO;;As, Opened Joint Stock Company
AOP;;Aeropiloto
AOR;;Afro International Ent. Limited
AOS;;Servicios Aéreos Del Sol, S.A. de C.V.
AOT;OE;Asia Overnight Express
AOU;;Air Tractor
AOV;;Aero Vision
AOX;;Aerotaxi Del Valle
APA;;Air Park Aviation Ltd.
APC;;Airpac Airlines, Inc.
APD;1Z;Sabre Pacific
APE;;Parcel Express
APF;;Amapola Flyg AB
APG;;Air People International
APH;;Alpha Aviation, Inc.
API;;ASA Pesada, Lda.
APJ;;Air Print, S.A.
APL;;Appalachian Flying Service, Inc.
APL;;Corporativo Aereo Principal
APM;;Airpac, Inc.
APO;;Aeropro
APP;;Aerolíneas Pacífico Atlántico, S.A. (Apair)
APQ;;Aspen Aviation
APR;;Aerolíneas Primordiales
APT;;LAP Colombia - Líneas Aéreas Petroleras, S.A.
APU;;Aeropuma, S.A.
APV;;Air Plan International
APW;JW;Arrow Air
APX;;Apex Air Cargo
APY;;APA Internacional
AQA;;Aeroatlas, S.A.
AQL;;Aquila Air Ltd.
AQN;;Air Queensland
AQO;;Aluminum Company Of America
AQT;;Aviones de Renta de Quintana Roo, S.A. de C.V.
AQU;;AirQuarius Aviation
AQZ;;Aerodyne Charter Company
ARA;;Arik Air
ARB;;Avia Air N.V.
ARC;;Air Routing International Corp.
ARD;2B;Aerocondor
ARE;4C;Aires, Aerovías de Integración Regional, S.A.
ARE;;LAN Colombia
ARF;GV;Aero Flight
ARG;AR;Aerolíneas Argentinas
ARH;;Aerohelicopteros
