id,airport_ref,airport_ident,length_ft,width_ft,surface,le_ident,le_latitude_deg,le_longitude_deg,le_heading_degT,le_displaced_threshold_ft,he_ident,he_latitude_deg,he_longitude_deg,he_elevation_ft,he_heading_degT,he_displaced_threshold_ft
238803,2847,FAUP,16076,197,ASP,17,-28.3799,21.252,153,,35,-28.4194,21.2744,2711,333,
246283,3005,FVHA,15502,151,ASP,5,-17.9469,31.0771,46,3557,23,-17.9167,31.1086,4887,226,
238759,2812,FAMM,15157,148,ASP,4,-25.8176,25.539,23,197,22,-25.7792,25.557,4148,203,197
246269,3014,FVWN,15091,98,ASP,8,-18.6376,27.0008,68,,26,-18.6221,27.0413,3530,248,
246213,3039,FYWH,15010,148,ASP,8,-22.4898,17.4495,64,,26,-22.4714,17.4894,5500,244,
238379,5308,OTBD,15000,151,ASP,15,25.2802,51.5565,158.2,2460,33,25.2419,51.5735,25,338.2,
314904,27214,ZPPP,14764,197,ASP,4,25.0897,102.931,39,,22,25.1215,102.958,6879,219,1644
236906,5139,OIBB,14664,148,ASP,13R,28.9575,50.8168,132,,31L,28.9306,50.8508,68,312,
236907,5139,OIBB,14663,148,ASP,13L,28.9591,50.8184,132,,31R,28.9322,50.8525,62,312,
236859,5162,OIHS,14625,148,ASP,13,35.2149,48.6563,130,,31,35.189,48.694,5490,310,
232768,5235,OMDB,14590,197,ASP,12R,25.2528,55.3644,121,2345,30L,25.2359,55.3949,60,301,433
245936,3631,KLAS,14515,150,ASP,08L,,,90,2139,26R,,,2044,270,1397
238744,31055,FAOR,14495,200,ASP,03L,-26.1463,28.2343,14,,21R,-26.108,28.2463,5501,194,
237406,6421,UAAA,14427,147,ASP,5,43.341,77.0181,56,,23,43.3632,77.0629,2234,236,
236893,5156,OIFM,14425,148,ASP,07L,32.7487,51.8378,78,,25R,32.757,51.8837,5044,258,
236892,5156,OIFM,14425,148,ASP,07R,32.7447,51.8389,78,,25L,32.753,51.8847,5041,258,
236919,5197,OISS,14345,148,ASP,11L,29.5493,52.5701,114.4,,29R,29.5329,52.6112,4862,294.4,
236860,5162,OIHS,14300,148,ASP,13R,35.2111,48.6543,129.7,,31L,35.186,48.6911,5484,309.7,
232769,5235,OMDB,14275,197,ASP,12L,25.2646,55.3504,121,1476,30R,25.2477,55.3809,32,301,984
236918,5197,OISS,14051,148,ASP,11R,29.5453,52.5688,114.3,,29L,29.5294,52.6091,4864,294.3,
236900,5209,OIZH,13996,148,ASP,17R,29.4946,60.9022,173,,35L,29.4589,60.9074,4564,353,886
236901,5209,OIZH,13993,148,ASP,17L,29.4949,60.9047,173,,35R,29.4588,60.9099,4517,353,
322333,35141,VOHS,13976,197,ASP,09R,17.2286,78.4128,90,,27L,17.2291,78.4529,2024,270,
236931,5166,OIIE,13940,148,ASP,11R,35.4237,51.1215,108.8,,29L,35.4114,51.1658,3257,288.8,1972
236835,5177,OIKQ,13864,148,ASP,5,26.7423,55.8862,49.5,,23,26.767,55.9185,45,229.5,
235946,4185,LFPG,13829,148,ASP,08L,48.9957,2.55274,85,,26R,48.9988,2.61018,318,265,1969
238654,5112,OERK,13796,197,ASP,15L,24.9769,46.702,150,,33R,24.944,46.7228,2012,330,
238653,5112,OERK,13796,197,ASP,15R,24.9709,46.6749,150,,33L,24.938,46.6957,2033,330,
